Comprimento de Onda (nm),Intensidade Máxima Média,Área do Pico Média
270.0,11092.7,1934.1653444499339
390.0,15214.7,6654.618691199854
400.0,13525.0,8094.119969700107
420.0,6510.4,2868.9218870501327
460.0,16051.4,7002.7522645066665
480.0,5549.333333333333,3872.0717951667807
490.0,41206.28571428572,13556.548029856674
500.0,5429.142857142857,5205.764985714271
520.0,11239.15,6484.5580518751685
530.0,6959.7,5399.289933699867
550.0,25852.5,9224.142149450086
560.0,7185.818181818182,5994.651124136611
570.0,6727.375,7474.644552250155
580.0,5078.0,4585.070463499886
590.0,42079.627859821434,43460.35028244438
600.0,5045.0,4458.710268750077
610.0,16564.714285714286,7859.596185404393
620.0,6830.333333333333,5104.082394833518
640.0,5486.0,2702.442953500097
650.0,13514.7,6493.909872449996
670.0,6965.7,2602.5860607000495
710.0,7665.0,3291.5719338750187
730.0,6332.857142857143,2452.748844571378
770.0,25243.35,11402.078374599792
820.0,15794.1,7851.283326150413
