Comprimento de Onda (nm),Intensidade Máxima Média,Área do Pico Média
270.0,8008.181818181818,1487.5599562272255
390.0,16645.583333333332,7109.488714166521
400.0,14432.916666666666,8381.305239375122
420.0,7035.916666666667,2984.6147017501394
460.0,15547.0,6258.188447127581
480.0,5210.0,3924.055041000104
490.0,45228.13333333333,13697.38764039948
500.0,5652.333333333333,4819.570324666631
520.0,13629.75,7061.611911541843
530.0,8980.923076923076,5987.746906769085
550.0,24259.583333333332,8798.976146375058
560.0,8575.92857142857,6712.093369393189
570.0,5611.857142857143,6295.773469000002
590.0,41241.41520175001,40521.22319271578
610.0,14234.037037037036,7164.734899203443
620.0,7732.416666666667,5414.445883625191
640.0,5254.0,2685.28458200009
650.0,11908.416666666666,5836.336394583355
670.0,7449.75,2798.250590125057
710.0,5866.333333333333,2770.4163361666797
730.0,5573.0,2361.2166754999507
770.0,25512.0,11105.525677687276
820.0,14423.75,6333.345544250413
